wall_time_iso,unix_time,episode,area_id,cycle_index,subcycle_index,agent_id,collectible_allowed_id,reward_amount,agent_pos_x,agent_pos_z,cumulative_reward_after,group_reward_step
2025-08-18T01:18:17.114Z,1755479897.115,1,3,1,1,4,0,1,34.3493,42.9604,1,0
2025-08-18T01:18:17.730Z,1755479897.730,1,5,1,1,4,0,1,-13.2146,6.7842,2,0
2025-08-18T01:18:18.214Z,1755479898.215,1,6,1,1,1,0,1,38.3721,34.0362,5,0
2025-08-18T01:18:18.502Z,1755479898.503,1,14,1,1,2,2,4,170.4106,26.8578,6,0
2025-08-18T01:18:18.662Z,1755479898.662,1,7,1,1,3,0,1,7.7831,-37.7825,2,0
2025-08-18T01:18:18.979Z,1755479898.979,1,3,1,1,1,0,1,-32.2886,11.0222,1,0
2025-08-18T01:18:19.099Z,1755479899.099,1,14,1,1,1,0,1,101.9486,6.4499,1,0
2025-08-18T01:18:19.564Z,1755479899.565,1,14,1,1,2,0,1,160.8286,24.9012,7,0
2025-08-18T01:18:20.720Z,1755479900.720,1,12,1,2,2,0,1,149.9128,-22.7637,5,0
2025-08-18T01:18:21.353Z,1755479901.354,1,3,1,2,1,0,1,-36.0692,12.5140,2,0
2025-08-18T01:18:24.685Z,1755479904.686,1,4,1,2,4,4,4,-26.8685,-29.0300,4,0
2025-08-18T01:18:26.289Z,1755479906.289,1,7,1,2,2,0,1,23.3329,18.6880,1,0
2025-08-18T01:18:26.320Z,1755479906.320,1,14,1,2,4,0,1,97.3353,9.6009,2,0
2025-08-18T01:18:26.633Z,1755479906.633,1,12,1,2,3,3,4,118.3583,-32.3124,4,0
2025-08-18T01:18:29.541Z,1755479909.542,1,10,1,3,4,4,4,100.0438,-36.3978,6,0
2025-08-18T01:18:29.664Z,1755479909.665,1,10,1,3,1,0,1,158.0091,-24.2839,5,0
2025-08-18T01:18:29.911Z,1755479909.911,1,2,1,3,3,3,4,-34.5583,-22.3720,4,0
2025-08-18T01:18:41.277Z,1755479921.277,1,7,1,3,3,0,1,17.4446,-17.8494,3,0
2025-08-18T01:18:41.278Z,1755479921.279,1,15,1,3,2,0,1,172.1512,21.7195,1,0
2025-08-18T01:18:41.375Z,1755479921.375,1,3,1,3,4,0,1,10.8584,7.8094,2,0
2025-08-18T01:18:41.622Z,1755479921.623,1,15,1,3,1,0,1,167.2064,-17.2189,1,0
2025-08-18T01:18:42.143Z,1755479922.143,1,10,1,3,3,3,4,106.9286,22.3205,4,0
2025-08-18T01:18:43.380Z,1755479923.381,1,10,1,3,4,4,4,105.6711,-26.9834,10,0
2025-08-18T01:18:43.408Z,1755479923.409,1,8,1,3,3,0,1,165.1821,-20.9494,1,0
2025-08-18T01:18:43.562Z,1755479923.562,1,11,1,3,4,4,4,164.0309,26.4789,8,0
2025-08-18T01:18:44.469Z,1755479924.470,1,2,1,3,3,3,4,-17.6513,-9.3349,8,0
2025-08-18T01:18:44.470Z,1755479924.471,1,8,1,3,1,0,1,93.4528,19.3843,1,0
2025-08-18T01:18:44.561Z,1755479924.561,1,6,1,3,4,4,4,-33.0972,10.6317,7,0
2025-08-18T01:18:44.767Z,1755479924.768,1,5,1,3,4,0,1,-24.9595,29.1036,3,0
2025-08-18T01:18:44.800Z,1755479924.801,1,3,1,3,4,0,1,19.2717,27.8464,3,0
2025-08-18T01:18:45.403Z,1755479925.403,1,6,1,3,4,4,4,-22.2560,22.1208,11,0
2025-08-18T01:18:46.056Z,1755479926.056,1,6,1,3,2,0,1,-32.6815,37.5197,1,0
2025-08-18T01:18:46.462Z,1755479926.462,1,5,1,3,1,0,1,7.4698,36.0772,15,0
2025-08-18T01:18:46.479Z,1755479926.480,1,8,1,3,4,0,1,158.6799,-23.7825,1,0
2025-08-18T01:18:47.064Z,1755479927.065,1,8,2,0,3,3,4,145.7047,-20.9693,5,0
2025-08-18T01:18:48.663Z,1755479928.663,1,12,2,0,1,0,1,123.4311,-41.7049,5,0
2025-08-18T01:18:50.584Z,1755479930.584,1,1,2,0,1,0,1,43.0438,19.9144,4,0
2025-08-18T01:18:50.586Z,1755479930.586,1,12,2,0,1,1,4,128.6464,-17.9194,9,0
2025-08-18T01:18:51.484Z,1755479931.484,1,13,2,0,3,0,1,158.1327,-12.4325,3,0
2025-08-18T01:18:51.717Z,1755479931.717,1,6,2,0,3,0,1,-8.8701,-39.1731,1,0
2025-08-18T01:18:52.034Z,1755479932.034,1,0,2,0,4,0,1,-18.0074,15.8438,1,0
2025-08-18T01:18:52.113Z,1755479932.113,1,8,2,0,3,0,1,153.5273,-5.6729,6,0
2025-08-18T01:18:52.131Z,1755479932.132,1,12,2,0,2,0,1,154.6112,-10.6544,6,0
2025-08-18T01:18:52.260Z,1755479932.260,1,8,2,0,1,1,4,96.8316,16.2597,5,0
2025-08-18T01:18:52.780Z,1755479932.780,1,13,2,0,4,0,1,122.3067,26.3678,2,0
2025-08-18T01:18:52.845Z,1755479932.846,1,4,2,0,1,0,1,20.0112,18.1414,7,0
2025-08-18T01:18:52.923Z,1755479932.923,1,4,2,0,2,2,4,13.9745,-35.8631,5,0
2025-08-18T01:18:52.988Z,1755479932.988,1,3,2,0,3,0,1,-34.2934,-34.6136,5,0
2025-08-18T01:18:53.781Z,1755479933.781,1,4,2,0,2,2,4,32.0231,-32.8910,9,0
2025-08-18T01:18:55.083Z,1755479935.083,1,0,2,1,2,0,1,-36.5015,-13.5523,1,0
2025-08-18T01:18:55.127Z,1755479935.128,1,0,2,1,2,2,4,-40.2302,-13.5707,5,0
2025-08-18T01:18:55.329Z,1755479935.329,1,4,2,1,1,1,4,21.8841,34.4480,11,0
2025-08-18T01:18:55.627Z,1755479935.627,1,4,2,1,2,0,1,37.1918,-5.1312,10,0
2025-08-18T01:18:55.991Z,1755479935.992,1,13,2,1,1,0,1,165.0534,12.2898,7,0
2025-08-18T01:18:56.073Z,1755479936.074,1,0,2,1,4,0,1,-14.3145,39.8002,2,0
2025-08-18T01:18:56.348Z,1755479936.349,1,11,2,1,2,2,4,102.3167,-8.0268,5,0
2025-08-18T01:18:57.568Z,1755479937.568,1,2,2,1,1,0,1,-12.7520,-42.8308,5,0
2025-08-18T01:18:58.318Z,1755479938.318,1,13,2,1,3,0,1,159.6340,-10.0141,4,0
2025-08-18T01:18:58.403Z,1755479938.403,1,13,2,1,1,1,4,177.5559,11.7464,11,0
2025-08-18T01:18:58.534Z,1755479938.535,1,9,2,1,4,0,1,129.3630,23.2806,2,0
2025-08-18T01:18:59.497Z,1755479939.497,1,1,2,1,1,0,1,30.5229,24.3333,5,0
2025-08-18T01:18:59.779Z,1755479939.779,1,0,2,1,1,1,4,42.3463,6.2645,4,0
2025-08-18T01:19:00.149Z,1755479940.150,1,2,2,1,3,0,1,-37.4701,-10.7950,9,0
2025-08-18T01:19:00.254Z,1755479940.254,1,0,2,1,2,0,1,-24.6251,-31.1359,6,0
2025-08-18T01:19:00.743Z,1755479940.743,1,8,2,1,3,3,4,166.8665,-17.5054,10,0
2025-08-18T01:19:01.069Z,1755479941.070,1,11,2,1,1,0,1,103.7488,-34.9780,4,0
2025-08-18T01:19:12.748Z,1755479952.748,1,6,2,1,2,0,1,-33.3914,40.8315,2,0
2025-08-18T01:19:13.571Z,1755479953.571,1,12,2,2,4,0,1,164.1075,38.8332,1,0
2025-08-18T01:19:13.709Z,1755479953.710,1,13,2,2,1,0,1,146.5178,42.3247,12,0
2025-08-18T01:19:14.171Z,1755479954.171,1,4,2,2,4,0,1,-32.1264,-30.5915,5,0
2025-08-18T01:19:14.264Z,1755479954.264,1,2,2,2,3,0,1,-22.1911,-21.4245,10,0
2025-08-18T01:19:14.515Z,1755479954.515,1,3,2,2,3,0,1,-32.2544,-36.2400,6,0
2025-08-18T01:19:14.627Z,1755479954.628,1,8,2,2,1,1,4,113.5595,11.8932,9,0
2025-08-18T01:19:15.753Z,1755479955.753,1,14,2,2,3,0,1,98.6290,-18.3738,1,0
2025-08-18T01:19:15.833Z,1755479955.834,1,15,2,2,1,0,1,172.1351,-9.1195,2,0
2025-08-18T01:19:16.258Z,1755479956.258,1,4,2,2,2,0,1,27.3673,-33.0622,11,0
2025-08-18T01:19:16.430Z,1755479956.431,1,8,2,2,2,0,1,105.4237,-20.6550,9,0
2025-08-18T01:19:17.372Z,1755479957.372,1,4,2,2,4,4,4,-26.4717,-35.7418,9,0
2025-08-18T01:19:20.143Z,1755479960.143,1,5,2,2,3,0,1,-30.2089,-6.6987,5,0
2025-08-18T01:19:20.242Z,1755479960.242,1,15,2,2,4,0,1,96.2211,33.4393,1,0
2025-08-18T01:19:20.490Z,1755479960.490,1,11,2,2,2,2,4,115.8041,-28.2066,9,0
